广东👉港澳台,#genre#

梅州综合(官方),http://3074201111.cloudvdn.com/a.m3u8?domain=pili-live-hls.xianchangliving.gdmztv.com&player=TBQAABv8DWpe-JwX&secondToken=secondToken%3AvJaH6TZdsjke7LImH4Doy1NGUro&sign=a318ad852af91eca32e9715fe7cfcabb&streamid=meizhou-xianchangliving%3Ameizhou-xianchangliving%2Fmztv1&t=656affff&v3=1
梅州生活(官方),http://3074201111.cloudvdn.com/a.m3u8?domain=pili-live-hls.xianchangliving.gdmztv.com&player=TBQAAKKz0hl1-JwX&secondToken=secondToken%3AaPVrZvBw0600IDfKgAcDgcYpdNQ&sign=b5677874cc3ab15899452d72b29c66d7&streamid=meizhou-xianchangliving%3Ameizhou-xianchangliving%2Fmztv2&t=656affff&v3=1
潮州综合(官方),http://time-vod-qhlive.sobeylive.com/czbtv2019/czzhpd.m3u8
潮州民生(官方),http://time-vod-qhlive.sobeylive.com/czbtv2019/czggpd.m3u8
汕头新闻综合1,http://114.132.99.29:8812/st.php?id=G7Kql7a
汕头新闻综合2,http://114.132.99.29:8812/st.php?id=7xjJK9d
揭阳综合,http://114.132.99.29:8788/tianma.php?id=jyzh
揭阳公共,http://114.132.99.29:8788/tianma.php?id=jysh
丰顺综合1,http://p2.vzan.com/slowlive/024926084736123668/live.m3u8
丰顺综合2,http://p2.vzan.com:80/slowlive/024926084736123668/live.m3u8
丰顺综合3,http://r2.weizan.cn/v/slowlive_024926084736123668.flv
潮安综合(触电)1,http://php.jdshipin.com:8880/chudian.php?id=cazh
普宁综合(触电)1,http://php.jdshipin.com:8880/chudian.php?id=pnzh
广东珠江(触电)1,http://php.jdshipin.com:8880/chudian.php?id=gdzj
大湾区卫视(触电)1,http://php.jdshipin.com:8880/chudian.php?id=nfws
广东体育(触电)1,http://php.jdshipin.com:8880/chudian.php?id=gdty
广东影视(触电)1,http://php.jdshipin.com:8880/chudian.php?id=gdys
GRTN文化频道(触电)1,http://php.jdshipin.com:8880/chudian.php?id=gdwh
广东民生(触电)1,http://php.jdshipin.com:8880/chudian.php?id=gdms
广东新闻(触电),http://php.jdshipin.com:8880/chudian.php?id=gdxw
广东经济科教(触电)1,http://php.jdshipin.com:8880/chudian.php?id=gdjjkj
广东移动(触电)1,http://php.jdshipin.com:8880/chudian.php?id=gdyd
广州综合(触电),http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州法治(触电),http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州新闻(触电),http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州影视(触电)1,http://php.jdshipin.com:8880/gztv.php?id=yingshi
广州南国都市(触电),http://php.jdshipin.com:8880/gztv.php?id=shenghuo
东莞新闻综合(触电),http://php.jdshipin.com:8880/0769.php?id=xwzh
东莞生活资讯(触电),http://php.jdshipin.com:8880/0769.php?id=shzx
阳江1(触电)1,http://php.jdshipin.com:8880/chudian.php?id=yjtv1
阳江2(触电)1,http://php.jdshipin.com:8880/chudian.php?id=yjtv2
阳西综合(触电),http://php.jdshipin.com:8880/chudian.php?id=yxzh
阳春综合(触电)1,http://php.jdshipin.com:8880/chudian.php?id=yczh
河源综合(触电)1,http://php.jdshipin.com:8880/chudian.php?id=hyzh
河源公共(触电)1,http://php.jdshipin.com:8880/chudian.php?id=hygg
河源连平台(触电),http://php.jdshipin.com:8880/chudian.php?id=lpzh
紫金综合(触电)1,http://php.jdshipin.com:8880/chudian.php?id=zjzh
东源台(触电)1,http://php.jdshipin.com:8880/chudian.php?id=dytv
和平综合(触电),http://php.jdshipin.com:8880/chudian.php?id=hpzh
清远英德综合(触电)1,http://php.jdshipin.com:8880/chudian.php?id=ydxw
佛山综合(触电),http://php.jdshipin.com:8880/fstv.php?id=fszh
佛山影视(触电),http://php.jdshipin.com:8880/fstv.php?id=fsys
佛山公共(触电),http://php.jdshipin.com:8880/fstv.php?id=fsgg
佛山南海(触电),http://php.jdshipin.com:8880/fstv.php?id=fsnh
佛山顺德(触电),http://php.jdshipin.com:8880/fstv.php?id=fssd
